template_name,template,accuracy,correct,total,ci_low,ci_high,mean_id,mean_lle,std_id,std_lle,num_tokens
minimal_qa,"Q: {q}
A:",0.023333333333333334,7,300,0.011347660299125234,0.04737197226827532,16.799999237060547,0.280583918094635,0.6531972885131836,0.056691549718379974,15
minimal_answer,"Answer: {q}
Final number:",0.03,9,300,0.01586185380943231,0.05602253914164096,16.75,0.30644920468330383,0.55901700258255,0.0897090807557106,16
direct_answer,"Answer the question: {q}
Return only the final number on the last line.",0.016666666666666666,5,300,0.00713947735063333,0.0384153948330945,16.8799991607666,0.30360448360443115,0.430813193321228,0.08340040594339371,25
direct_provide,"Provide the answer: {q}
Return only the final number on the last line.",0.013333333333333334,4,300,0.005196961739358859,0.03377553025253262,16.846153259277344,0.309562087059021,0.36080121994018555,0.09340541064739227,26
direct_give,"Give the solution: {q}
Return only the final number on the last line.",0.02,6,300,0.009197631557703617,0.042939620817860576,16.84000015258789,0.3040473163127899,0.36660605669021606,0.08448141068220139,25
cot_explain,"Explain step by step: {q}
Then give the final answer as a number.",0.016666666666666666,5,300,0.00713947735063333,0.0384153948330945,16.923076629638672,0.3170040547847748,0.5493406653404236,0.09081806987524033,26
cot_reasoning,"Show your reasoning: {q}
End with just the number.",0.02,6,300,0.009197631557703617,0.042939620817860576,16.761905670166016,0.3069404065608978,0.42591774463653564,0.10737490653991699,21
cot_think,"Think through this problem: {q}
Provide the answer.",0.03666666666666667,11,300,0.02059530516285303,0.06445384817189295,16.863636016845703,0.3038046956062317,0.5473452210426331,0.07990753650665283,22
structured_tutor,"You are a math tutor. Solve the problem step by step, but keep the explanation b",0.016666666666666666,5,300,0.00713947735063333,0.0384153948330945,16.90625,0.31880462169647217,0.5219779014587402,0.10721971094608307,64
structured_steps,"Show your reasoning in 2–3 short steps. After the reasoning, on a new final line",0.02666666666666667,8,300,0.01357306980864708,0.05172894295058982,16.795917510986328,0.3162069320678711,0.49402931332588196,0.11730991303920746,49
no_cot,"Answer the following question. Do NOT show your work. On a new final line, write",0.043333333333333335,13,300,0.025496448084407246,0.07271746563401146,16.822221755981445,0.3068241477012634,0.5286834239959717,0.09656356275081635,45
